month,precip,basin,pet,hb,spei_1,spei_3,spei_6,spei_12
1981-01-01,7.228762648999691,Canal del Dique,149.66875000000002,-142.43998735100033,-0.05241981905606094,,,
1981-02-01,3.452616937458515,Canal del Dique,142.77708333333337,-139.32446639587485,0.6058676964773009,,,
1981-03-01,14.330704271793364,Canal del Dique,149.65208333333337,-135.32137906154,1.0067972693223117,0.6347217675493771,,
1981-04-01,85.50586120784283,Canal del Dique,142.00208333333333,-56.496222125490505,0.8752985023059199,1.098238704209536,,
1981-05-01,205.5024447441101,Canal del Dique,129.27291666666665,76.22952807744346,1.724580762901403,1.7022393205383919,,
1981-06-01,111.1210036277771,Canal del Dique,122.69166666666668,-11.570663038889577,0.2969183825609167,1.4115441087688827,1.4598012562262963,
1981-07-01,86.48191308230162,Canal del Dique,140.39375,-53.911836917698395,-0.42934658561997663,0.7240378031629374,1.0210957476162197,
1981-08-01,189.68149535357952,Canal del Dique,140.11041666666668,49.57107868691284,0.9696412487676255,0.3655848217148972,1.1076004474387546,
1981-09-01,116.07692193984984,Canal del Dique,137.05416666666667,-20.977244726816835,-1.2983858603422154,-0.10372423987493962,0.6861560859450415,
1981-10-01,219.4785981178284,Canal del Dique,122.54583333333332,96.93276478449508,0.6971971628700816,0.4694469015180692,0.6707159216652986,
1981-11-01,119.16560021042824,Canal del Dique,113.68333333333337,5.482266877094872,0.16857723134263664,0.1655708539469581,0.2458925807667396,
1981-12-01,46.360231932252645,Canal del Dique,117.22916666666669,-70.86893473441404,0.918326959080892,0.7070250221496512,0.3191655322260585,0.8550471553243546
1982-01-01,18.07781481742859,Canal del Dique,128.24166666666667,-110.16385184923809,1.57509144992548,0.7878683670954607,0.6897214639848263,0.944420637630459
1982-02-01,9.470116302371023,Canal del Dique,131.35000000000002,-121.879883697629,1.4397118639496906,1.3300526682527747,0.6756510474845386,1.0050619766778301
1982-03-01,5.3588904440402985,Canal del Dique,165.85,-160.4911095559597,-0.32159980858859677,1.2321994537283159,0.9615014345648706,0.8961121547975357
1982-04-01,72.65926398336887,Canal del Dique,131.92916666666667,-59.2699026832978,0.8096102455162414,0.8848599129325945,1.0264070423370315,0.8886022694860047
1982-05-01,134.2511017471552,Canal del Dique,136.26250000000002,-2.0113982528448275,0.22141965154075782,0.3922141347385055,1.139413946582311,0.5947336955154499
1982-06-01,97.35237631201744,Canal del Dique,133.8125,-36.46012368798256,-0.4352875011538715,0.10777469498797707,0.6467975659404985,0.47587243426615083
1982-07-01,60.65901055932045,Canal del Dique,146.35416666666666,-85.69515610734621,-1.089321565411813,-0.7507287838421,-0.26529081715099,0.3971122441308153
1982-08-01,79.2050096616149,Canal del Dique,156.49583333333337,-77.29082367171847,-1.7039579546893837,-1.359415374887677,-0.915393128883848,-0.26632968426253123
1982-09-01,156.6064927726984,Canal del Dique,139.1125,17.49399277269839,0.004229142720893792,-1.3507714217334184,-0.8741893667067441,-0.09098443513104218
1982-10-01,132.87294894456863,Canal del Dique,119.7375,13.135448944568637,-1.0478041961966302,-1.4585583895541665,-1.234713070632412,-0.5344628681926423
1982-11-01,50.7249541580677,Canal del Dique,124.425,-73.7000458419323,-1.6818946690634877,-1.819413704161481,-1.608882124037812,-0.8261199952623047
1982-12-01,8.97610193490982,Canal del Dique,143.24375,-134.26764806509019,-1.127459225821099,-2.000698709160433,-1.7081195917800582,-1.1088027903127768
1983-01-01,3.5318996887654066,Canal del Dique,145.1625,-141.6306003112346,0.001643241353645903,-1.6364459317251123,-1.7680064374679936,-1.1950451309670598
1983-02-01,1.409339189529419,Canal del Dique,141.19791666666666,-139.78857747713724,0.5761100830039684,-0.5336856823040509,-1.49645706264131,-1.2604246408750375
1983-03-01,4.281842619180679,Canal del Dique,151.11249999999998,-146.8306573808193,0.42045130229340855,0.33655207344810184,-1.4487093429529705,-1.1905700797196435
1983-04-01,67.25436678528786,Canal del Dique,153.77916666666667,-86.52479988137881,0.026475754080897647,0.1898621728921007,-1.1665248596588054,-1.3051887247322025
1983-05-01,81.78726467490196,Canal del Dique,148.00625000000002,-66.21898532509806,-1.3098228091203936,-0.7910108203764256,-0.8990016695570344,-1.551487401207367
1983-06-01,115.53224909305573,Canal del Dique,135.13541666666666,-19.603167573610932,0.06570354539051858,-0.8702097846063014,-0.6070899399742902,-1.5339654487254435
1983-07-01,94.9174048230052,Canal del Dique,143.23333333333335,-48.31592851032815,-0.30806501149710575,-0.8534146936880718,-0.64112135095327,-1.5849667431154337
1983-08-01,74.63555701822042,Canal del Dique,142.59166666666667,-67.95610964844624,-1.5064335763157384,-0.7687577032829801,-1.0078643644828842,-1.5395957830025764
1983-09-01,156.5610644966364,Canal del Dique,131.51458333333335,25.046481163303042,0.253592494144176,-0.8065688900810931,-1.003136707942522,-1.4188769462806243
1983-10-01,164.7432863265276,Canal del Dique,121.12916666666668,43.61411965986092,-0.3561321164331553,-0.941835475195122,-1.0267903263392706,-1.3464901563599143
1983-11-01,52.09554061293602,Canal del Dique,114.63541666666669,-62.539876053730666,-1.3675134548772507,-0.8118200678976867,-0.8981376095533802,-1.2001890368152197
1983-12-01,36.65692017972469,Canal del Dique,112.60625,-75.94932982027531,0.8073206376435625,-0.5697081736887355,-0.8052727435961071,-0.9156890386295865
1984-01-01,6.572197876870632,Canal del Dique,125.46458333333334,-118.8923854564627,1.237533604244239,-0.23829752627151804,-0.7223602151767082,-0.7820755243760206
1984-02-01,8.403742849826813,Canal del Dique,114.95208333333336,-106.54834048350655,1.8915697972492538,1.3467030522340577,0.12715709671750414,-0.6401400639383202
1984-03-01,8.259737439453602,Canal del Dique,153.02916666666667,-144.76942922721307,0.5297742780128922,1.698574011797724,0.1467813472190735,-0.6284884290075996
1984-04-01,41.511558055877686,Canal del Dique,146.15208333333337,-104.64052527745568,-0.6345431006692792,0.5775567828841852,0.07518283960514908,-0.7225648770410582
1984-05-01,129.5405545681715,Canal del Dique,140.20833333333334,-10.667778765161842,0.014070402407011998,-0.18963318133767532,0.7971455692460935,-0.4132868789334664
1984-06-01,96.63299390673636,Canal del Dique,121.65625,-25.02325609326364,-0.09396003210402848,-0.4630876634104847,0.4212415752865439,-0.5215537924781296
1984-07-01,140.2916378378868,Canal del Dique,124.04791666666668,16.24372117122013,1.0203337243719246,0.40016326336108415,0.5600109958938887,-0.2074914208097488
1984-08-01,170.21506786346436,Canal del Dique,127.97083333333336,42.244234530130996,0.844710706792495,0.7802575564115343,0.4687526584423107,0.373095954145599
1984-09-01,152.2651624083519,Canal del Dique,129.14375,23.121412408351887,0.1909597625877198,0.9524822885637462,0.4027090001646855,0.3201503405569721
1984-10-01,217.69250470399857,Canal del Dique,113.34166666666668,104.35083803733188,0.8191337969222245,0.9041796521300423,0.7561301749469411,0.6658581119047665
1984-11-01,108.8817954286933,Canal del Dique,108.35833333333336,0.5234620953599318,0.07850208373118792,0.5718661779742854,0.7081196216490468,0.9198303267901915
1984-12-01,6.1930822879076,Canal del Dique,141.51666666666668,-135.32358437875908,-1.1737107280724275,0.1602311017217069,0.5536875474440712,0.6120088806821068
1985-01-01,4.674489364027977,Canal del Dique,149.51041666666666,-144.83592730263868,-0.21550582951521602,-0.565645804315107,0.32509143701016946,0.4709526065358465
1985-02-01,1.65480999648571,Canal del Dique,153.8375,-152.1826900035143,-0.4281907374467123,-0.9122163687002317,0.05069898077040462,0.2592486602447503
1985-03-01,0.1492485664784908,Canal del Dique,174.83333333333334,-174.68408476685485,-1.0470502490390348,-0.8517708468227516,-0.20226831129440784,0.11607190728305558
1985-04-01,24.03859183192253,Canal del Dique,153.9,-129.86140816807747,-1.6816548533108455,-1.564033529027532,-1.3152062173620347,-0.010579576949273774
1985-05-01,110.17300766706468,Canal del Dique,132.16666666666666,-21.993658999601976,-0.26252196497550706,-1.1778240270258928,-1.3610223837078483,0.007630645051658729
1985-06-01,86.66667041555047,Canal del Dique,121.77083333333331,-35.104162917782844,-0.39474687967226246,-1.0456737683779391,-1.2089538062005902,-0.10403079026237216
1985-07-01,106.63460488244893,Canal del Dique,133.60416666666669,-26.96956178421776,0.15555186370859367,-0.3193006583487606,-0.9311205815506183,-0.30702301141587535
1985-08-01,137.30233074724674,Canal del Dique,130.9625,6.339830747246737,0.14633225421158985,0.0008461253000889083,-0.6526886950114832,-0.5023371674018721
1985-09-01,134.04819259047508,Canal del Dique,127.16875,6.8794425904750796,-0.3580416849055173,0.019500645993290284,-0.5930989110762492,-0.5892083768598344
1985-10-01,179.64634981751442,Canal del Dique,114.76041666666669,64.88593315084773,0.09835180690322348,-0.05118163129890911,-0.24328663858464428,-0.8124261887432184
1985-11-01,53.93168035149574,Canal del Dique,113.77916666666668,-59.84748631517094,-1.2946357555157548,-0.7176472923479603,-0.3701140550444005,-0.9989974155789368
1985-12-01,48.19320631027222,Canal del Dique,118.33541666666667,-70.14221035639446,0.933601767541471,-0.2118583425840395,-0.16201443765365064,-0.6916495029004721
1986-01-01,5.156563878059387,Canal del Dique,141.82083333333335,-136.66426945527397,0.3198185228610062,-0.37300983146060185,-0.21614970128677335,-0.629470301182171
1986-02-01,6.882053688168526,Canal del Dique,132.47500000000002,-125.5929463118315,1.2993345624325972,0.9703333522895002,-0.09001798758320972,-0.5165245890275764
1986-03-01,9.873762592673302,Canal del Dique,163.54375000000002,-153.66998740732672,0.049857062344430776,0.6648461982612771,-6.460913474373224e-05,-0.42398484954498755
1986-04-01,98.20670300722122,Canal del Dique,131.37708333333333,-33.17038032611211,1.3458959361647107,1.4514569746557637,0.442062469085522,-0.005834732290109466
1986-05-01,104.588993370533,Canal del Dique,137.25000000000003,-32.661006629467025,-0.5239991898318499,0.42554362558375614,0.8897565095352239,0.015186099844818468
1986-06-01,80.096755489707,Canal del Dique,131.43958333333333,-51.34282784362634,-0.87493167607303,-0.15455905031151682,0.16343492843513507,-0.12514063737452422
1986-07-01,28.224401403218508,Canal del Dique,153.35625000000002,-125.13184859678151,-1.8048588476415324,-1.552927572558362,-0.7665598654244763,-0.6234398134850445
1986-08-01,140.1531744003296,Canal del Dique,148.65416666666667,-8.500992266337079,-0.17761911094983596,-1.2285221935787414,-0.8041327764192029,-0.7057163641911427
1986-09-01,92.67103664577007,Canal del Dique,133.5583333333333,-40.887296687563236,-1.912240047347317,-1.6218546625342993,-1.1750913929150955,-0.9230947620421455
1986-10-01,245.94070839881897,Canal del Dique,111.72916666666669,134.21154173215228,1.2507704952936924,0.025108102548797234,-0.9743899390823589,-0.6144853797395488
1986-11-01,29.49525088816881,Canal del Dique,119.18125000000002,-89.68599911183121,-2.177620090875921,-0.8533571420759021,-1.2224845687756511,-0.6578596977472196
1986-12-01,20.147759050130844,Canal del Dique,132.20833333333334,-112.0605742832025,-0.24010713197662867,-0.23979374612758583,-1.1399947102733068,-0.8638031341084164
1987-01-01,5.816589966416359,Canal del Dique,141.74375,-135.92716003358365,0.3648633398358012,-1.453043908313209,-0.6934902477511365,-0.8275560209811204
1987-02-01,2.5821840465068817,Canal del Dique,145.2854166666667,-142.7032326201598,0.3773073488557926,-0.0035423669225986025,-0.7291465660803357,-0.9017120974574863
1987-03-01,12.753970827907324,Canal del Dique,158.80416666666667,-146.05019583875935,0.46202073235812086,0.43329181063837324,-0.10612373160110558,-0.8617031454769063
1987-04-01,85.87719305604696,Canal del Dique,143.63541666666666,-57.758223610619694,0.8457008241201759,0.7823043205093351,-0.7327676935971738,-0.9774030328779432
1987-05-01,130.7546015214175,Canal del Dique,131.35416666666666,-0.5995651452491586,0.25472570514091764,0.6419631697157906,0.4524102015562501,-0.7938204686563902
1987-06-01,118.49662905186416,Canal del Dique,136.42291666666668,-17.92628761480252,0.11458162350597854,0.39493985755314165,0.5287210299659397,-0.7313199012333995
1987-07-01,95.09677362069488,Canal del Dique,130.04791666666668,-34.951143045971804,-0.01705402676108026,0.021887338882094938,0.3406282225900509,-0.3183764259724959
1987-08-01,101.6909089628607,Canal del Dique,143.49791666666667,-41.807007703805965,-0.9313946074551462,-0.3717441214689525,-0.05679757137105857,-0.49980074009633135
1987-09-01,158.6893474459648,Canal del Dique,132.17708333333334,26.51226411263147,0.30079943911756646,-0.3713217157980011,-0.07581275963012168,-0.16544458389090982
1987-10-01,186.0715065598488,Canal del Dique,117.72708333333333,68.34442322651549,0.1684263951637916,-0.339745102063066,-0.20740939858403235,-0.5166139178978025
1987-11-01,86.04293276369572,Canal del Dique,121.7375,-35.69456723630428,-0.6853405113772567,-0.07471949200886978,-0.3206872461082193,-0.14235235874118002
1987-12-01,33.32506164908409,Canal del Dique,129.52916666666667,-96.20410501758258,0.28063271655417177,-0.19417758631311116,-0.3695148376317844,-0.1098181514732343
1988-01-01,6.784342005848885,Canal del Dique,149.94583333333333,-143.16149132748444,-0.10107096339858633,-0.49728125390104055,-0.4622105505202272,-0.14261770228554432
1988-02-01,2.744503736495972,Canal del Dique,149.06458333333333,-146.32007959683736,0.09980810374941036,0.09527628511465876,-0.14425855749119867,-0.16867697472513826
